t_index term df
635 ashraf 1
636 ashtray 1
637 asia 32
638 asian 15
639 asid 30
640 ask 196
641 aspect 11
642 aspir 2
643 assad 1
644 assail 4
645 assam 6
646 assassin 21
647 assault 28
648 assembl 19
649 assert 17
650 assess 48
651 asset 10
652 assign 24
653 assist 76
654 associ 119
655 assort 1
656 assum 38
657 assumpt 7
658 assur 35
659 assuredli 2
660 astakhov 12
661 asterisk 2
662 astonish 7
663 astound 2
664 astronom 1
665 astut 1
666 asylum 29
667 asymmetr 2
668 at 235
669 atal 13
670 atck 2
671 ate 4
672 atf 2
673 atfein 1
674 ath 1
675 athal 1
676 athlet 3
677 atlant 15
678 atlanta 6
679 atmat 1
680 atmospher 10
681 atom 4
682 atop 13
683 atp 3
684 atroc 10
685 atrophi 1
686 attach 15
687 attack 306
688 attain 1
689 attar 1
690 attempt 112
691 attend 68
692 attent 64
693 attest 2
694 attitud 10
695 attorney 58
696 attract 15
697 attribut 12
698 attrit 1
699 atwan 1
700 aubrey 19
701 aubri 5
702 audienc 16
703 audio 4
704 audiotap 1
705 auditor 5
706 auditorium 1
707 aug 33
708 augment 1
709 august 32
710 aunt 2
711 aur 5
712 aura 1
713 aurora 4
714 ausi 1
715 aussi 9
716 auster 2
717 austin 18
718 australia 23
719 australian 72
720 austria 3
721 austrian 1
722 austro 1
723 authent 2
724 author 255
725 authoritarian 27
726 auto 1
727 autocrat 27
728 autograph 1
729 autom 1
730 automat 18
731 automobil 4
732 autonom 1
733 autonomi 3
734 autopilot 1
735 autopsi 1
736 autumn 2
737 avail 44
738 avala 1
739 avalanch 1
740 ave 1
741 aveng 7
742 avent 1
743 avenu 4
744 averag 14
745 avert 6
746 aviat 3
747 aviv 4
748 avner 2
749 avoid 59
750 avow 1
751 aw 10
752 awad 2
753 await 27
754 awaken 2
755 awar 18
756 award 9
757 away 167
758 awe 4
759 aweigh 1
760 awkward 4
761 awn 4
762 awok 1
763 axam 1
764 axe 1
765 ay 2
766 ayatollah 1
767 aykroyd 1
768 ayman 5
769 aynaoui 1
770 ayr 1
771 ayyam 2
772 az 1
773 aziz 1
774 azul 1
775 azulay 2
776 b 24
777 ba 2
778 babenko 2
779 babi 14
780 babkin 6
781 baboa 1
782 back 380
783 backa 1
784 backbo 1
785 backcourt 1
786 backdrop 4
787 backer 14
788 backfir 5
789 background 4
790 backhand 14
791 backho 1
792 backlash 3
793 backstop 2
794 backup 2
795 backward 3
796 backyard 1
797 bacon 18
798 bad 39
799 badawi 1
800 badg 3
801 badli 39
802 badrasen 5
803 baffl 2
804 bag 14
805 bagad 1
806 baggag 1
807 baghbel 1
808 baghdad 2
809 bahg 5
810 bahrain 35
811 bai 1
812 baijubahi 2
813 bail 4
814 bailey 6
815 baird 1
816 bairnt 1
817 bait 1
818 bakarec 3
819 bake 2
820 baken 1
821 baker 5
822 bakhshish 1
823 bakri 5
824 balanc 21
825 balawat 1
826 balcacer 2
827 balconi 11
828 bald 1
829 balint 1
830 balk 4
831 balkan 25
832 ball 30
833 ballard 1
834 ballast 2
835 ballena 1
836 ballist 2
837 ballo 1
838 balloon 3
839 ballot 72
840 ballroom 2
841 balonia 1
842 balsamo 1
843 baltimor 3
844 baltin 1
845 bamba 3
846 bambi 1
847 bamboo 4
848 bament 1
849 ban 24
850 banco 1
851 band 11
852 bandag 8
853 bandanna 3
854 bandit 1
855 bang 7
856 bangalor 1
857 bangaru 3
858 bangladesh 5
859 bank 69
860 banker 10
861 bankrupt 5
862 bankruptci 4
863 banner 9
864 bannon 1
865 banquet 1
866 baptist 6
867 bar 54
868 barak 9
869 barb 4
